id,title,company,location,description,posted_date,apply_url
1,Senior Data Engineer,Alqen,🌏 Worldwide,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/remote-senior-data-engineer-alqen-664520
2,Principal Software Engineer Data Scientist,Cardlytics,🌏 Probably worldwide,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/109456-remote-principal-software-engineer-data-scientist-cardlytics
3,Principal Software Engineer Applied Science Data Science,Cardlytics,🌏 Probably worldwide,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/109197-remote-principal-software-engineer-applied-science-data-science-cardlytics
4,Marketing Data Scientist,Recast,🇺🇸 United States,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/107901-remote-marketing-data-scientist-recast
5,Machine learning engineer for large scale ML project,OneSecondDelivery,💃 Latin America,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/106921-remote-machine-learning-engineer-for-large-scale-ml-project-oneseconddelivery
6,Data Scientist,Ampcontrol,🌏 Worldwide,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/103561-remote-data-scientist-ampcontrol
7,Staff Data Scientist,Shopify,🇨🇦 Canada,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/103485-remote-staff-data-scientist-shopify
8,Senior Data Scientist,Shopify,🇺🇸 United States,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/103484-remote-senior-data-scientist-shopify
9,Senior Data Scientist,NannyML,🇪🇺 Europe,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/103333-remote-senior-data-scientist-nannyml
10,Technical Community Manager,Iterative,🌏 Worldwide,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/99931-remote-technical-community-manager-iterative
11,Backend Developer Data Scientist,komoot,🇪🇺 Europe,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/99798-remote-backend-developer-data-scientist-komoot
12,Marketing Data Analyst,Automattic,🌏 Probably worldwide,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/19914-remote-marketing-data-analyst-automattic
13,Software Developer,EcoHealth Alliance,🇺🇸 United States,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/3641-remote-software-developer-ecohealth-alliance
14,Software Developer,EcoHealth Alliance,🇺🇸 United States,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/5392-remote-software-developer-ecohealth-alliance
15,DevOps Engineer,EcoHealth Alliance,🇺🇸 United States,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/3642-remote-devops-engineer-ecohealth-alliance
16,DevOps Engineer,EcoHealth Alliance,🇺🇸 United States,No description provided.,2025-08-11,https://remoteok.com/remote-jobs/5393-remote-devops-engineer-ecohealth-alliance
